Title,Link,PropertyType,Price,Location,State,Bedrooms,Bathrooms,Area,Down_Payment,Payment_Method,Price_Per_M
"Apartment for sale first row on installment in Alexandria, Village 6 October, Armed Forces, Al-Ajami, Kilometer 21",https://www.bayut.eg/en/property/details-502913839.html,Apartment,1600000,Agami,Agami,2,1,118,66600,Installments,13559.32
"Chalet for sale at a special price, Bianchi",https://www.bayut.eg/en/property/details-502996960.html,Chalet,500000,Agami,Agami,2,1,148,0,Cash,3378.38
"Apartment for Sale, 178 sq m, Alex West Compound",https://www.bayut.eg/en/property/details-502993455.html,Apartment,6883700,Alex West,Agami,3,3,178,3662500,Installments,38672.47
"For sale a 150m super lux apartment in the first street of Honey Month main, Al-Baytash - Alexandria Al-Ajami",https://www.bayut.eg/en/property/details-502974935.html,Apartment,1800000,Al Bitash,Agami,3,1,150,0,Cash,12000.0
"Apartment for sale in a lively location in Alexandria, 6th of October Village, Al-Najmi, Kilomete 21",https://www.bayut.eg/en/property/details-502929656.html,Apartment,850000,Agami,Agami,2,1,118,0,Cash,7203.39
"Apartment for sale with complete furnishings in Alexandria, 6 October, Al-Nakheel 1, Al-Ajami, Kilowatt 21",https://www.bayut.eg/en/property/details-503006287.html,Apartment,790000,Agami,Agami,2,1,100,0,Cash,7900.0
"Apartment for sale, 155 sq m - (Alex West)",https://www.bayut.eg/en/property/details-502974164.html,Apartment,7700000,Alex West,Agami,3,3,155,47100,Installments,49677.42
Your opportunity at Alex West – receive it in just one year,https://www.bayut.eg/en/property/details-502958340.html,Apartment,7882000,Alex West,Agami,3,2,153,394100,Installments,51516.34
Resale Twin House Villa 290m in Alex West Compound,https://www.bayut.eg/en/property/details-502793510.html,Twin House,25500000,Alex West,Agami,4,4,470,0,Cash,54255.32
Apartment for sale 120 meters in the best location in Albeitash directly on the main street,https://www.bayut.eg/en/property/details-502961399.html,Apartment,1935000,Al Bitash,Agami,3,2,120,0,Cash,16125.0
Own a 155 m apartment immediately in Alex West,https://www.bayut.eg/en/property/details-502974219.html,Apartment,5650000,Alex West,Agami,3,2,155,5330000,Installments,36451.61
Last chance to own a premium Townhouse in *Gizen – Alex West*,https://www.bayut.eg/en/property/details-502966685.html,Townhouse,19125000,Alex West,Agami,3,3,200,956250,Installments,95625.0
"Twin house villa (v7) 327 m for sale, in Alex West Compound,",https://www.bayut.eg/en/property/details-502857203.html,Twin House,17000000,Alex West,Agami,3,3,327,0,Cash,51987.77
Own your apartment in Alex West with installments over 3 years,https://www.bayut.eg/en/property/details-502973871.html,Apartment,8250000,Alex West,Agami,4,3,217,3900000,Installments,38018.43
"Standalone villa for sale, 393 sq m, Alex West Compound, Alexandria.",https://www.bayut.eg/en/property/details-502993262.html,Villa,40276665,Alex West,Agami,6,5,773,2013833,Installments,52104.35
Own a twin house villa with immediate delivery in Alex West,https://www.bayut.eg/en/property/details-502972247.html,Villa,15500000,Alex West,Agami,4,3,225,7750000,Installments,68888.89
Standalone villa with full amenities in Alex West Alexandria,https://www.bayut.eg/en/property/details-502942936.html,Villa,46373747,Alex West,Agami,10,4,452,2318687,Installments,102596.79
"Apartment 153 m in Alex West Compound for 6,000,000 EGP",https://www.bayut.eg/en/property/details-502041942.html,Apartment,6000000,Alex West,Agami,3,2,153,0,Cash,39215.69
Luxury villa 452m in Alex West with integrated services,https://www.bayut.eg/en/property/details-502942978.html,Villa,45527625,Alex West,Agami,10,4,452,2276381,Installments,100724.83
Twin House for sale (Alex West) 358 m,https://www.bayut.eg/en/property/details-502981455.html,Twin House,18000000,Alex West,Agami,3,3,358,0,Cash,50279.33
Apartment for sale 183 m King Mariout (Alex West),https://www.bayut.eg/en/property/details-502981121.html,Apartment,8000000,Alex West,Agami,3,3,183,350070,Installments,43715.85
Apartment 184 sq m in Alex West Compound (8-year installments),https://www.bayut.eg/en/property/details-502931052.html,Apartment,8500000,Alex West,Agami,3,3,184,425000,Installments,46195.65
Luxury villa in Alex West Alexandria 452m,https://www.bayut.eg/en/property/details-503018253.html,Villa,46373747,Alex West,Agami,10,4,452,2318687,Installments,102596.79
"Apartment for sale in the best compound, Alex West",https://www.bayut.eg/en/property/details-502939753.html,Apartment,7272700,Alex West,Agami,3,2,155,106050,Installments,46920.65
Villa Town house Corner Alex West,https://www.bayut.eg/en/property/details-502879836.html,Villa,19125000,Alex West,Agami,3,3,222,162747,Installments,86148.65
Own a townhouse with Immediate Delivery in Alex West,https://www.bayut.eg/en/property/details-502896727.html,Villa,13000000,Alex West,Agami,3,2,188,0,Cash,69148.94
Very spacious apartments located on the first Al-Jam'iyya Street on the first upper floor.,https://www.bayut.eg/en/property/details-502940009.html,Apartment,750000,Al Hanouvel,Agami,3,1,130,0,Cash,5769.23
"For sale: 250m super luxury flat on ElSamalihe Street in the Baytash area - Alexandria, Al-Ajami",https://www.bayut.eg/en/property/details-502916860.html,Apartment,1200000,Al Bitash,Agami,2,1,250,0,Cash,4800.0
Your chance now: own your apartment in the Alex West compound.,https://www.bayut.eg/en/property/details-502904084.html,Apartment,7650000,Alex West,Agami,3,2,153,382500,Installments,50000.0
"Apartment for sale in Alexandria, Al-Kees West",https://www.bayut.eg/en/property/details-502997125.html,Apartment,7671420,Alex West,Agami,3,2,153,87901,Installments,50140.0
Villa for sale 180 m in Alex West immediate delivery,https://www.bayut.eg/en/property/details-502998461.html,Villa,13000000,Alex West,Agami,3,2,180,0,Cash,72222.22
Standalone villas for sale in Alex West 452m,https://www.bayut.eg/en/property/details-502998692.html,Villa,45527625,Alex West,Agami,10,4,452,2276381,Installments,100724.83
Own an apartment with 8-year payment plans and an open view,https://www.bayut.eg/en/property/details-502931766.html,Apartment,5260000,Alex West,Agami,2,1,111,263000,Installments,47387.39
"Apartment for sale, 153 sq m, Alex West Compound (Landscape View)",https://www.bayut.eg/en/property/details-502935219.html,Apartment,6024528,Alex West,Agami,3,2,153,0,Cash,39376.0
Apartment for sale - Al-Ibrahimiyya - direct sea view,https://www.bayut.eg/en/property/details-503013442.html,Apartment,7500000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,2,160,0,Cash,46875.0
Apartment for sale 100m in Al-Ibrahimiyya,https://www.bayut.eg/en/property/details-502883601.html,Apartment,3000000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,1,100,0,Cash,30000.0
Apartment for sale 220 M El Ibrahimia (Naqeeb Sherif Ramzy ST),https://www.bayut.eg/en/property/details-502751138.html,Apartment,4900000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,3,220,0,Cash,22272.73
"Apartment for sale in Al Ibrahimia, Port Said, 170 SQM, located on the second floor with inner views. Features 3 bedrooms including a master bedroom,",https://www.bayut.eg/en/property/details-502986488.html,Apartment,5500000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,3,170,0,Cash,32352.94
Apartment for Sale – 70 sqm (Steps from Abu Qir St. ),https://www.bayut.eg/en/property/details-503007791.html,Apartment,1600000,Al Ibrahimiyyah,Al Ibrahimiyyah,2,1,70,0,Cash,22857.14
Apartment for sale in Al-Ibrahimiyya 160m,https://www.bayut.eg/en/property/details-503006771.html,Apartment,5500000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,2,160,0,Cash,34375.0
For those seeking distinction - For sale - 300-meter property - (vacant) in a prime location in Al-Ibrahimiyah,https://www.bayut.eg/en/property/details-502991950.html,Other Residential,25000000,Al Ibrahimiyyah,Al Ibrahimiyyah,4,3,300,0,Cash,83333.33
Apartment for sale - Al-Ibrahimiyya (steps from Al-Ibrahimiyya Bridge - Al-Arish Street),https://www.bayut.eg/en/property/details-502973556.html,Apartment,3400000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,1,120,0,Cash,28333.33
"Apartment for sale, 160 sq m, in Ibrahimia.",https://www.bayut.eg/en/property/details-502940978.html,Apartment,8800000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,2,160,0,Cash,55000.0
Apartment for sale 110m in Al-Ibrahimiyah - branching off from Omar Zafaan Street - steps away from Abou Qir,https://www.bayut.eg/en/property/details-502725425.html,Apartment,3200000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,1,110,0,Cash,29090.91
Apartment for sale 175m in Al-Ibrahimiyah by the sea,https://www.bayut.eg/en/property/details-502845079.html,Apartment,7500000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,2,175,0,Cash,42857.14
"Apartment for sale, 160 m - Al-Ibrahimiya - Second num from the sea - price 7,500,000 million",https://www.bayut.eg/en/property/details-502980761.html,Apartment,7500000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,2,160,0,Cash,46875.0
"Apartment for sale, 160 sq m, Ibrahimia - 2nd building from the sea",https://www.bayut.eg/en/property/details-502942473.html,Apartment,6000000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,2,160,0,Cash,37500.0
"Apartment for sale, 120 sq m, in Ibrahimia.",https://www.bayut.eg/en/property/details-502947585.html,Apartment,3800000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,1,120,0,Cash,31666.67
"Apartment for sale, 100 sq m, Ibrahimia (Al-Batariyyat Street)",https://www.bayut.eg/en/property/details-502989076.html,Apartment,1850000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,1,100,0,Cash,18500.0
Apartment for sale 160m in Al-Ibrahimeya (Memphis Street),https://www.bayut.eg/en/property/details-502980182.html,Apartment,3750000,Al Ibrahimiyyah,Al Ibrahimiyyah,3,1,160,0,Cash,23437.5
"Villa for sale, 520 sq m, Maamoura Beach",https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-hay-than-el-montazah-al-maamoura-corniche-al-maamoura-8312178.html,Villa,65000000,Corniche Al Maamoura,Al Maamoura,7,7,520,0,Installments,125000.0
"Apartment for sale, 112 sq m, Maamoura Beach (Seif",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-than-el-montazah-al-maamoura-corniche-al-maamoura-8411358.html,Apartment,4500000,Corniche Al Maamoura,Al Maamoura,3,2,112,0,Installments,40178.57
Apartment for sale - Maamoura Beach - Area 176 m,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-than-el-montazah-al-maamoura-corniche-al-maamoura-7585454.html,Apartment,4650000,Corniche Al Maamoura,Al Maamoura,3,2,176,0,Installments,26420.45
"فيلا توين هاوس (v7) 327 م للبيع , بكمبوند اليكس وي",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-alexandria-alexandria-compounds-alex-west-8360912,Twin House,17000000,Alex West,Agami,3,3,327,0,Cash,51987.77
"Standalone villa for sale, 428 sq m built area",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8336140,Villa,32000000,Alex West,Agami,6,5,625,0,Cash,51200.0
Lowest Price Furnished Townhouse 3Beds In AlexWest,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-alexandria-alexandria-compounds-alex-west-8424923,Townhouse,13000000,Alex West,Agami,3,3,200,0,Cash,65000.0
"Apartment for Sale, 184 sq m, Alex West Compound",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8339409,Apartment,6000000,Alex West,Agami,3,3,184,0,Cash,32608.7
New apartment in Alex West,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-4073089.html,Apartment,7700000,Alex West,Agami,3,2,155,385000,Installments,49677.42
Resale villa with penthouse in Alex West,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-7210052.html,Villa,48000000,Alex West,Agami,7,6,1350,0,Installments,35555.56
"6 rooms, hotel finishing fully furnished",https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-7970538.html,Villa,25500000,Alex West,Agami,6,3,686,0,Cash,37172.01
Twin house for sale in Alex West ready move,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-alexandria-alexandria-compounds-alex-west-8395446.html,Twin House,8000000,Alex West,Agami,4,4,389,0,Installments,20565.55
Residential unit for sale - Alex West - Area 133,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8474057.html,Apartment,3800000,Alex West,Agami,2,2,133,0,Installments,28571.43
Immediate delivery open view overlooking the club,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8306333.html,Apartment,7250000,Alex West,Agami,3,3,178,0,Installments,40730.34
 Immediate delivery  installments over one year,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8312933.html,Villa,15500000,Alex West,Agami,4,3,328,7750000,Installments,47256.1
Delivery Within 6Months Payment Plans Over 5 Years,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8331844.html,Villa,20000000,Alex West,Agami,4,3,381,5000000,Installments,52493.44
Open view overlooking the club ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-7054801.html,Apartment,7900000,Alex West,Agami,3,3,184,0,Installments,42934.78
Luxury Standalone Villa in a fully-serviced,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8471918.html,Villa,46373747,Alex West,Agami,7,4,452,0,Cash,102596.79
Receive interest free facilities within a year,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-7970077.html,Apartment,7000000,Alex West,Agami,4,3,184,3000000,Installments,38043.48
at the old price Fully Open Views,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8221854.html,Apartment,5500000,Alex West,Agami,3,3,184,0,Installments,29891.3
Immediate Delivery Fully Finished Open Views,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-7942765.html,Villa,36000000,Alex West,Agami,7,6,1044,0,Installments,34482.76
4-bedroom apartment at the old price,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8310032.html,Apartment,8250000,Alex West,Agami,4,2,217,3900000,Installments,38018.43
 Immediate delivery installments over one year,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8313433.html,Villa,15500000,Alex West,Agami,4,3,328,0,Installments,47256.1
Luxury Standalone Villa in Alex west 452m,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8399349.html,Villa,45527625,Alex West,Agami,7,4,452,0,Cash,100724.83
Luxury Standalone Villa with a modern design,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8399279.html,Villa,46373747,Alex West,Agami,7,4,452,0,Cash,102596.79
فيلا stand alone للبيع في Alex West Jezzine,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8438049.html,Villa,46373647,Alex West,Agami,5,7,452,0,Cash,102596.56
بيتك فى ارقى كمبوند سكني متكامل الخدمات 155 متر ..,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8441322.html,Apartment,7200000,Alex West,Agami,3,3,155,350000,Cash,46451.61
للبيع وحدة مميزة في كمباوند اليكس ويست,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-7234410.html,Apartment,1888140,Alex West,Agami,3,2,153,0,Cash,12340.78
Installments over 5 years with Open view ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8371208.html,Villa,19000000,Alex West,Agami,4,3,336,4750000,Installments,56547.62
lowest price Open Views Immediate Delivery,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8474314.html,Apartment,6500000,Alex West,Agami,3,3,184,0,Installments,35326.09
Delivery within 6 months installments over 3 years,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8470145.html,Apartment,8250000,Alex West,Agami,3,3,178,3500000,Installments,46348.31
Open views overlooking the club Immediate delivery,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8473322.html,Apartment,6300000,Alex West,Agami,3,2,155,0,Installments,40645.16
Immediate delivery Fully open view,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8472653.html,Villa,35000000,Alex West,Agami,6,6,1030,0,Installments,33980.58
"Apartment for sale, 178 sq m, Alex West Compound",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8371396,Apartment,9580000,Alex West,Agami,3,3,178,0,Installments,53820.22
"Apartment for Sale, 218 sq m Alex West Compound",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8370460,Apartment,9750000,Alex West,Agami,4,3,378,0,Cash,25793.65
"Apartment for sale, 153 sq m, Alex West Compound",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8471168.html,Apartment,5771160,Alex West,Agami,3,2,153,481000,Installments,37720.0
"Apartment for sale, 133 sq m, Alex West Compound",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8468546.html,Apartment,5297000,Alex West,Agami,2,2,133,0,Installments,39827.07
Standalone Villa for Sale – Alex West - 650 m,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8467754.html,Villa,30000000,Alex West,Agami,3,4,650,0,Installments,46153.85
"Apartment for sale, 155 sq m, Alex West Compound",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8357549,Apartment,7200000,Alex West,Agami,3,2,155,0,Installments,46451.61
"Townhouse Villa for Sale, 205 sq m, Alex West",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-alexandria-alexandria-compounds-alex-west-8356942,Townhouse,14000000,Alex West,Agami,4,2,205,0,Cash,68292.68
"Apartment for sale, 217m Alex West Compound",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8344919,Apartment,10000000,Alex West,Agami,5,3,437,0,Cash,22883.3
"Apartment for Sale, 153 sq m, Alex West Compound",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8339680,Apartment,5400000,Alex West,Agami,3,2,153,0,Cash,35294.12
"Apartment for sale, 217 sq m, Alex West Compound ",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8462888.html,Apartment,7900000,Alex West,Agami,4,3,217,395000,Installments,36405.53
Below market price Closest delivery Open view ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8420248.html,Apartment,4300000,Alex West,Agami,2,2,133,0,Installments,32330.83
"Apartment for sale, 155 sq m, Alex West Compound",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8382528,Apartment,8056900,Alex West,Agami,3,2,155,0,Installments,51980.0
 open lake view Immediate Delivery ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-alexandria-alexandria-compounds-alex-west-8350750.html,Townhouse,13000000,Alex West,Agami,3,2,188,0,Installments,69148.94
8-year payment plan with 25% down payment ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8373046.html,Villa,24900000,Alex West,Agami,7,5,284,6225000,Installments,87676.06
Installments over 3 years With Lowest price ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8364931.html,Apartment,8000000,Alex West,Agami,3,3,178,3250000,Installments,44943.82
Installments over 5 years with 15% down payment,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8370832.html,Apartment,7880000,Alex West,Agami,3,2,153,1182000,Installments,51503.27
Immediate delivery open view Prime Location,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-8444751.html,Villa,15500000,Alex West,Agami,5,3,328,7750000,Installments,47256.1
Installments over 3 years Open view,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-8457419.html,Apartment,8250000,Alex West,Agami,4,3,217,3900000,Installments,38018.43
Apartment for sale 199 m in Palm Hills immediate delivery with open view,https://www.bayut.eg/en/property/details-502995222.html,Apartment,15591000,Palm Hills,Palm Hills,4,4,199,1245000,Installments,78346.73
"apartment for sale in Palm Hills Alexandria , 161 SQM , 2 bedrooms and 2 bathrooms , located on the third floor with a practical layout. Flexible",https://www.bayut.eg/en/property/details-502986447.html,Apartment,12960000,Palm Hills,Palm Hills,2,2,161,155700,Installments,80496.89
"Apartment for sale, 203 sq m, Palm Hills Compound, Alexandria",https://www.bayut.eg/en/property/details-502980037.html,Apartment,14991600,Palm Hills,Palm Hills,2,3,203,7495800,Installments,73850.25
Own a 3-bedroom apartment with immediate occupancy in Palm Hills with an open view,https://www.bayut.eg/en/property/details-502881897.html,Apartment,13628000,Palm Hills,Palm Hills,3,4,217,6938000,Installments,62801.84
"Prime unit for sale in Palm Hills with no over, 2024 contract, 188 SQM in a corner building, north-facing with open plaza view. Prime location overloo",https://www.bayut.eg/en/property/details-502986311.html,Apartment,14213000,Palm Hills,Palm Hills,3,3,188,170000,Installments,75601.06
For Sale: 120 sqm Apartment. Live in the Heart of Palm Hills Alexandria with only a 5% Down Payment and Installments over 10 Years.,https://www.bayut.eg/en/property/details-502944584.html,Apartment,10700000,Palm Hills,Palm Hills,2,2,120,535000,Installments,89166.67
